USER_ID,ITEM_ID,TIMESTAMP,EVENT_TYPE
52a27344-9dc3-11eb-a364-acde48001122,6552345461607367172,1618467917,CLICK
52a2b930-9dc3-11eb-a364-acde48001122,6552345461607367172,1618464329,CLICK
52a25d46-9dc3-11eb-a364-acde48001122,6552332581256299016,1618463159,CLICK
52a30a84-9dc3-11eb-a364-acde48001122,6552332581256299016,1618454653,CLICK
52a3cd5c-9dc3-11eb-a364-acde48001122,6552332581256299016,1618459188,CLICK
52a2e414-9dc3-11eb-a364-acde48001122,6552130363123040771,1618478490,CLICK
52a32988-9dc3-11eb-a364-acde48001122,6552130363123040771,1618471430,CLICK
52a2a6fc-9dc3-11eb-a364-acde48001122,6552130363123040771,1618471458,CLICK
52a23654-9dc3-11eb-a364-acde48001122,6475484594673025293,1618462187,CLICK
52a382fc-9dc3-11eb-a364-acde48001122,6475484594673025293,1618472383,CLICK
52a248f6-9dc3-11eb-a364-acde48001122,6552277802022863374,1618473093,CLICK
52a291bc-9dc3-11eb-a364-acde48001122,6552277802022863374,1618475813,CLICK
52a238fc-9dc3-11eb-a364-acde48001122,6553127862163997192,1618470333,CLICK
52a3d2ca-9dc3-11eb-a364-acde48001122,6553127862163997192,1618458241,CLICK
52a36100-9dc3-11eb-a364-acde48001122,6553127862163997192,1618462402,CLICK
52a3aab6-9dc3-11eb-a364-acde48001122,6553127862163997192,1618463884,CLICK
52a336bc-9dc3-11eb-a364-acde48001122,6552429618819760643,1618466497,CLICK
52a3df18-9dc3-11eb-a364-acde48001122,6552468946551833102,1618465053,CLICK
52a238fc-9dc3-11eb-a364-acde48001122,6552330831065514503,1618468328,CLICK
52a40812-9dc3-11eb-a364-acde48001122,6552330831065514503,1618463559,CLICK
52a3663c-9dc3-11eb-a364-acde48001122,6552330831065514503,1618459007,CLICK
52a36eb6-9dc3-11eb-a364-acde48001122,6552330831065514503,1618469370,CLICK
52a3217c-9dc3-11eb-a364-acde48001122,6552330831065514503,1618472449,CLICK
52a32dd4-9dc3-11eb-a364-acde48001122,6552330831065514503,1618459440,CLICK
