ITEM_ID,CATEGORY,KEYWORD
6552390851157295629,news_entertainment,杨幂|徐冬冬|背带裙|大唐荣耀|唐嫣|景甜
6552309039697494532,news_sports,土库曼斯坦|乌兹别克斯坦|亚洲杯|赔率|小组赛
6552452056043487748,news_sports,威廉|曼联|穆里尼奥|布莱顿|马夏尔
6552466727995703815,news_sports,阿洛|阿洛伊西奥|华夏幸福|埃尔纳内斯|穆里奇
6552404265724281357,news_sports,J罗|科隆|拜仁|假动作|托利索
6552327554336817678,news_house,都江堰|彭州|楼盘|天立世纪华府|㎡三室两厅两卫户型
6552236298344595982,news_house,世茂|银座|高新区|奥特莱斯|青岛高新区|项目投资协议
6552134625018249735,news_car,李亚鹏|印第安|Bobber|北极星|胡军|车友
6552382749393551885,news_car,MPV|中控台|GM8|R18|汉腾旗下
6552296183421731336,news_car,雷克萨斯|李嘉诚|新车|董明珠|保险杠|特斯拉
6552387440152150536,news_military,理查森|北大西洋|俄罗斯|网络战|司令部
6552452522043245059,news_military,俄罗斯|基地组织|叙利亚政府军|武装分子|哈马省
6552453633097597454,news_military,叙利亚|俄罗斯雇佣兵|幼发拉底河|俄罗斯军队|美军
6551675115115905544,news_travel,虎丘|苏州|书法家|吕洞宾|虎丘塔
6552313758851531271,news_world,博物馆|图坦卡蒙|埃及博物馆|开罗|文物
6552391967869764109,news_world,孟买|印度|贫民窟
6552339306956980743,news_game,dnf|阿拉德|阿拉德大陆
6552436963197059598,news_game,虞姬|三姓家奴|小乔|凤凰于飞|吕布
6552455667020464654,news_culture,小状元|中庸|赵师|宋就浇瓜|声律启蒙
6552342390286320135,news_culture,特里尔|揭幕仪式|新华社记者|马克思雕像|单宇琦
6552258492902670852,news_entertainment,田一德|这就是街舞|杨文昊|王子奇|舞者|总决赛
6552390995558793735,news_entertainment,赵薇|高晓松|徐峥|刘德华|刘晓庆
6552267646488805902,news_house,楼盘|红山小区|房价|搜房网|红山
6552443169743569412,news_car,漫步者|Hybrid|赛车手|赛车|何晓乐|纽博格林
6552365094741737987,news_car,电动汽车|Mission E|保时捷|电动车|e-tron|大众集团|特斯拉
6552359134421844484,news_edu,谷歌|计算机专业|图形设计|林世彪|软件工程师
6552245610378953220,news_travel,环岛高铁|海南省|自由贸易港|海南|拉美社
6552364621758464519,news_world,东巴基斯坦|印巴分治|东巴|印度|西巴基斯坦
6552284559864496654,news_agriculture,酉庄|文化|屈原|刘代全|九章·橘颂|尚书·皋陶谟|辰溪
6552130363123040771,news_game,战队|Major|Mineski|DOTA2|MDL
6552412813887799821,news_culture,台北故宫博物院|倪宽赞|杨士奇|书法家|褚遂良|詹景凤
6552332609655931400,news_entertainment,偶像练习生|撑腰|创造101|李子璇|吴宣仪|加油！美少女|Sunnee
6552408328486519309,news_entertainment,郭京飞|佟丽娅|刘昊然|雷佳音|李光洁
6552446812953772551,news_entertainment,快乐家族|粉丝|快本|快乐大本营|谢娜|何炅|吉尼斯
6552444286133076487,news_entertainment,中国上榜一人|日本选出全球|范冰冰|五大面孔|标致
6552484745748414979,news_sports,王楚钦|乒乓球
6552473566724489732,news_sports,罗马尼亚|法网|马德里|奥斯塔彭科|WTA
6552276966609781252,news_sports,埃尔克森|国安|国安队|颜骏凌|上港队
6552348739242033667,news_car,玛莎拉蒂|奔驰S级|CS10|迈途|猎豹|CS9
6552461219817587203,news_edu,教育厅|招生|中职招生|职业中学|市教育局
6552390444066537987,news_tech,金融服务|支付宝|马化腾|微粒贷|微众银行
6552326032085484039,news_tech,拥抱物联网时代|物联网|物联网时代|云计算|周云杰|生态系统
6552390986826252803,news_tech,腾讯没有梦想|马化腾|朱啸虎|刘炽平|姚劲波|腾讯
6552259671955079694,news_military,F-22|歼-31|歼-20|F-35|战斗机|苏-27|SR-71|五代机
6552133095686930948,news_military,隐身技术|陕飞|战斗机|预警机|机载雷达
6552299188359528974,news_world,印度人|印度|三峡大坝
6552311506430591491,news_world,总统|布雷迪|2017年枪支暴力伤亡统计|特朗普|民主党|枪击案
6552234153524331015,news_agriculture,互助会|广元|企业家|妇女儿童|广元市巾帼建功
6552336879226716686,news_entertainment,吉尼斯世界纪录|马栏坡|马栏镇|快乐大本营|马栏山|谢娜
6552376917822013966,news_entertainment,新剧|朱一龙|Angelababy|angelababy
6552319871793758723,news_entertainment,安陵容|皇帝|甄嬛|甄嬛传|元皇后
6552451239223755267,news_entertainment,钟楚曦|最佳新人奖|闭幕式|北京大学生电影节|演员
6552329024117408263,news_sports,骑士|季后赛|猛龙|詹姆斯|NBA
